Model,RMSE_Vitesse,RMSE_Vitesse_std,RMSE_Rel_Vitesse,RMSE_Rel_Vitesse_std,RMSE_WSS,RMSE_WSS_std
KDC_baseline_1,1.6975,0.6546,0.5745,0.2135,1.3861,1.1438
KDC_baseline_2,1.7192,0.6858,0.5013,0.1728,1.3728,1.1404
KDC_baseline_3,1.7892,0.6305,0.7398,0.31,1.3886,1.1526
KDC_baseline_1_40eps,1.6069,0.5715,0.5816,0.2845,1.3797,1.1129
KD_baseline_1,1.9071,0.7886,0.8581,0.3196,0.2125,0.1355
KD_baseline_2,1.8596,0.7811,0.7661,0.2574,0.2063,0.1246
KD_baseline_3,1.9266,0.8118,0.8544,0.2962,0.2124,0.1321
KD_baseline_1_30eps,1.8603,0.6818,0.8354,0.3191,0.179,0.1096
KD_curr_1,1.7392,0.7045,0.706,0.2648,0.2007,0.1222
KD_curr_2,1.7622,0.7009,0.7378,0.2855,0.2008,0.1221
KD_curr_3,1.7528,0.6892,0.7332,0.2784,0.2017,0.1252
KD_noise01_1,1.6049,0.7182,0.6659,0.2384,,
KD_noise01_2,1.5894,0.7135,0.6631,0.2453,,
KD_noise01_3,1.5927,0.6885,0.7064,0.2615,,
KD_noise0_1,1.591,0.7226,0.6856,0.2518,,
KD_noise0_2,1.6016,0.7236,0.7294,0.2626,,
KD_noise0_3,1.6198,0.7326,0.6898,0.2485,,
KD_noise5_1,2.1866,0.6532,1.1515,0.7494,,
KD_noise5_2,2.1685,0.6947,1.1829,0.7927,,
KD_noise5_3,2.2904,0.6237,1.4547,1.0592,,
KD_noise001_1,1.6122,0.7158,0.6988,0.2456,,
KD_noise001_2,1.6096,0.7261,0.7026,0.2494,,
KD_noise001_3,1.6235,0.7386,0.6975,0.2437,,
KD_noise004_1,1.5989,0.733,0.7489,0.2725,,
KD_noise004_2,1.6148,0.7384,0.7071,0.2478,,
KD_noise004_3,1.6203,0.7319,0.7397,0.2801,,
KD_noise05_1,1.6885,0.7006,0.7621,0.3621,,
KD_noise05_2,1.6647,0.7014,0.751,0.3062,,
