Model,RMSE_Vitesse,RMSE_Vitesse_gp,RMSE_Vitesse_std,RMSE_Vitesse_Fluid,RMSE_Vitesse_Fluid_std,RMSE_Vitesse_Aneurysm,RMSE_Vitesse_Aneurysm_std,RMSE_Pression,RMSE_Pression_std,RMSE_WSS,RMSE_WSS_std,RMSE_WSS_Aneurysm,RMSE_WSS_Aneurysm_std
BAXC_baseline_inlet_1,30.5423,32.0436,8.3717,30.8888,8.9109,84.3224,28.9124,,,,,,
BAXC_baseline_inlet_2,26.8327,28.2415,7.4832,27.9854,8.1751,75.6903,28.2707,,,,,,
BAXC_baseline_inlet_3,29.0564,30.7559,8.9686,31.3918,10.0499,75.2259,25.0795,,,,,,
BAXC_baseline_1,29.5291,31.1553,8.3146,29.1182,10.1515,86.4103,29.8841,,,,,,
BAXC_baseline_2,27.5082,29.0667,8.9667,29.7886,10.1892,73.5245,22.1785,,,,,,
BAXC_baseline_3,32.5718,34.3155,8.2756,34.4358,11.5568,85.3782,15.559,,,,,,
BAXC_cBAX_pre_inlet_1,29.5644,31.257,11.3143,26.7814,11.1646,90.1772,32.4236,,,,,,
BAXC_cBAX_pre_inlet_NT_1,29.7225,31.6244,9.79,28.1221,11.4594,86.6961,24.3069,,,,,,
BAXC_cBAX_pre_inlet_2,30.2465,32.1065,11.1481,28.2549,12.2595,91.1102,31.1143,,,,,,
BAXC_cBAX_pre_inlet_3,30.2109,31.9954,9.9912,28.4057,10.8298,90.4034,31.5767,,,,,,
BAXC_cBAX_pre_inlet_NT_2,29.2464,31.1157,12.7826,27.9532,12.3603,85.2704,35.5812,,,,,,
BAXC_cBAX_pre_inlet_NT_3,28.9768,31.1035,10.0975,28.5294,11.6789,83.7447,28.5476,,,,,,
BAXC_cAX_pre_inlet_NT_1,35.4109,38.6282,17.6269,40.4481,25.6371,75.3709,32.2702,,,,,,
BAXC_cAX_pre_inlet_NT_2,28.3793,30.401,9.4727,29.1559,12.4533,75.2269,23.1975,,,,,,
BAXC_cAX_pre_inlet_NT_3,34.798,38.1321,16.188,39.7861,25.5365,73.6122,21.6483,,,,,,
BAXC_cBAX_grad_1,25.9763,27.6961,10.6966,26.6214,11.2995,72.7246,29.596,,,,,,
BAXC_cBAX_grad_2,23.8096,25.6267,10.0082,24.8667,11.074,65.6876,30.3606,,,,,,
BAXC_cBAX_grad_3,24.7633,26.5317,10.3609,25.7369,11.6484,69.3951,28.4473,,,,,,
BAXC_cBAX_WSS_grad_1,25.8302,27.7709,9.7986,27.3617,9.0734,66.2548,27.8917,,,0.6279,0.2465,,
BAXC_cBAX_WSS_grad_2,25.0984,27.034,8.3009,26.1805,9.6406,64.6555,19.6618,,,0.6107,0.1846,,
BAXC_cBAX_WSS_grad_3,25.3635,27.3288,8.5886,27.4056,8.4127,65.5178,25.1521,,,0.619,0.209,,
BAXC_cBAX_WSS_grad_anev_1,24.8221,,9.5001,26.621,9.8554,66.4032,26.9361,,,0.6211,0.1963,,
BAXC_cBAX_WSS_grad_anev_2,24.9661,,8.6091,26.2228,8.8062,66.0063,27.0685,,,0.6147,0.2133,,
BAXC_cBAX_WSS_grad_anev_3,26.0257,,7.7109,27.1268,9.0414,65.607,22.6896,,,0.6281,0.1841,,
BAXC_F_WSS_grad_1,25.7450,,9.9584,26.9968,8.1065,66.7051,28.0521,,,0.7331,0.2743,nan,nan
